freq,psd_x,psd_y,psd_z,psd_xyz
182.1,2.133e+04,1.058e+04,2.169e+05,2.488e+05
183.6,2.375e+04,1.444e+04,2.121e+05,2.503e+05
185.1,2.546e+04,1.961e+04,2.110e+05,2.560e+05
186.6,2.707e+04,2.385e+04,2.106e+05,2.615e+05
188.2,2.834e+04,2.883e+04,2.222e+05,2.794e+05
189.7,2.934e+04,3.395e+04,2.366e+05,2.999e+05
191.2,3.048e+04,3.601e+04,2.473e+05,3.137e+05
192.7,3.342e+04,3.549e+04,2.585e+05,3.274e+05
194.2,3.908e+04,3.367e+04,2.710e+05,3.438e+05
195.7,4.130e+04,2.994e+04,2.673e+05,3.386e+05
197.3,4.045e+04,2.699e+04,2.555e+05,3.230e+05
198.8,3.918e+04,2.506e+04,2.421e+05,3.063e+05
